CV,LOSS,VAL_LOSS,ACCURACY,VAL_ACCURACY,VALIDATION_ACCURACY,VALIDATION_PRECISION,VALIDATION_RECALL,VALIDATION_F1SCORE
CV1,"[1.0885601043701172, 0.8587914109230042, 0.7630137801170349, 0.5583417415618896, 0.4004186987876892, 0.34913477301597595, 0.3251190781593323, 0.29959359765052795, 0.2799632251262665, 0.2766685485839844, 0.2656131684780121, 0.2548193633556366, 0.24950410425662994, 0.22822009027004242, 0.2139401137828827, 0.21659229695796967, 0.20745305716991425, 0.20145253837108612, 0.19502712786197662, 0.18784044682979584, 0.18786415457725525, 0.1713884025812149, 0.16500358283519745, 0.15670421719551086, 0.1578700691461563, 0.14941200613975525, 0.1465616673231125, 0.13482730090618134, 0.13054634630680084, 0.12012483179569244, 0.12147941440343857, 0.11388681828975677, 0.1164025217294693, 0.11293288320302963, 0.11750566959381104, 0.10473368316888809, 0.10129785537719727, 0.10781686753034592, 0.1010301485657692, 0.08941889554262161, 0.09220253676176071, 0.09169162064790726, 0.08646561205387115, 0.08496128767728806, 0.08241348713636398, 0.08213914930820465, 0.08114903420209885, 0.08551263064146042, 0.08265219628810883, 0.07302094250917435]","[0.8404385447502136, 0.7289482951164246, 0.7041448354721069, 0.3561120629310608, 0.32310980558395386, 0.3630363941192627, 0.30238357186317444, 0.3066985011100769, 0.30980876088142395, 0.2525302767753601, 0.21596938371658325, 0.31219831109046936, 0.3541144132614136, 0.39251425862312317, 0.15389202535152435, 0.20272909104824066, 0.24286851286888123, 0.27202707529067993, 0.18647466599941254, 0.17081952095031738, 0.14666104316711426, 0.15826784074306488, 0.18399041891098022, 0.11292878538370132, 0.33553585410118103, 0.15877632796764374, 0.1537584662437439, 0.3679085373878479, 0.09327682852745056, 0.10731948912143707, 0.09056965261697769, 0.14132876694202423, 0.10961853712797165, 0.08754253387451172, 0.3537503778934479, 0.07196342200040817, 0.10819239914417267, 0.08870378136634827, 0.0644492655992508, 0.10176116228103638, 0.16524241864681244, 0.330765962600708, 0.11442206799983978, 0.10176030546426773, 0.05321446433663368, 0.055317237973213196, 0.08781068027019501, 0.059121813625097275, 0.07573258876800537, 0.07546796649694443]","[0.49642735719680786, 0.5964613556861877, 0.6510151028633118, 0.7627310752868652, 0.8359986543655396, 0.8576613068580627, 0.8693433403968811, 0.8822728991508484, 0.8865827322006226, 0.8911194205284119, 0.8933877944946289, 0.8986049890518188, 0.8993988633155823, 0.908699095249176, 0.9117613434791565, 0.9116479754447937, 0.9175456762313843, 0.9172053933143616, 0.9212884306907654, 0.9263921976089478, 0.9255982637405396, 0.9316093921661377, 0.9352387189865112, 0.9360326528549194, 0.9386412501335144, 0.9412498474121094, 0.9449926018714905, 0.945106029510498, 0.9488488435745239, 0.9552001953125, 0.9542928338050842, 0.9562209248542786, 0.9573550820350647, 0.957808792591095, 0.9549733400344849, 0.9624589085578918, 0.9607576131820679, 0.9601905345916748, 0.9624589085578918, 0.9665418863296509, 0.9680163264274597, 0.9676761031150818, 0.9692639112472534, 0.9684699773788452, 0.9710785746574402, 0.9696041941642761, 0.9692639112472534, 0.9700578451156616, 0.969944417476654, 0.9747079610824585]","[0.6435374021530151, 0.6725623607635498, 0.6698412895202637, 0.8566893339157104, 0.8598639369010925, 0.8526077270507812, 0.8798186182975769, 0.8653061389923096, 0.8585034012794495, 0.8943310379981995, 0.9043083786964417, 0.8888888955116272, 0.8621315360069275, 0.8657596111297607, 0.9333333373069763, 0.9129251837730408, 0.8961451053619385, 0.9043083786964417, 0.9179138541221619, 0.9369614720344543, 0.9369614720344543, 0.9287981986999512, 0.9219954609870911, 0.9496598839759827, 0.8866212964057922, 0.9473922848701477, 0.9387755393981934, 0.8870748281478882, 0.9632652997970581, 0.960090696811676, 0.9632652997970581, 0.9482993483543396, 0.9523809552192688, 0.9668934345245361, 0.8929705023765564, 0.9714285731315613, 0.9614512324333191, 0.9650793671607971, 0.9804988503456116, 0.9709750413894653, 0.9424036145210266, 0.8965986371040344, 0.9614512324333191, 0.962358295917511, 0.9823129177093506, 0.9809523820877075, 0.9723355770111084, 0.9755101799964905, 0.9764172434806824, 0.9746031761169434]",0.9823129177,0.9823367698,0.9823129252,0.9823190441
CV2,"[1.0854779481887817, 0.8451555371284485, 0.6531997323036194, 0.4564628601074219, 0.38731855154037476, 0.3391733467578888, 0.31321609020233154, 0.3009834289550781, 0.2740035951137543, 0.26789265871047974, 0.2628314197063446, 0.2501923143863678, 0.23361162841320038, 0.24128350615501404, 0.21947641670703888, 0.20985358953475952, 0.21622763574123383, 0.2033732384443283, 0.21639662981033325, 0.19329498708248138, 0.1847388744354248, 0.18801218271255493, 0.18372054398059845, 0.17019915580749512, 0.1590650975704193, 0.16823896765708923, 0.15630559623241425, 0.14880450069904327, 0.14598993957042694, 0.13460198044776917, 0.13456808030605316, 0.1385524868965149, 0.1227191910147667, 0.11962303519248962, 0.11920047551393509, 0.11814825236797333, 0.1071607768535614, 0.11963729560375214, 0.10592682659626007, 0.10919973254203796, 0.09977813810110092, 0.0980580672621727, 0.1054476648569107, 0.09240987151861191, 0.09407360106706619, 0.09232233464717865, 0.09068652987480164, 0.08535462617874146, 0.0924338772892952, 0.08432622998952866]","[0.8859952688217163, 0.7135862112045288, 0.5953848361969, 0.5478726029396057, 0.24157504737377167, 0.6248925924301147, 0.33154425024986267, 0.27747684717178345, 0.26612529158592224, 0.5022214651107788, 0.19849726557731628, 0.22102564573287964, 0.3740729093551636, 0.1800466775894165, 0.18590307235717773, 0.2889391779899597, 0.20178410410881042, 0.21233651041984558, 0.16197974979877472, 0.1484583467245102, 0.20042240619659424, 0.3085942268371582, 0.2087070345878601, 0.12459604442119598, 0.1587817370891571, 0.2452274113893509, 0.15669162571430206, 0.16704268753528595, 0.2222956418991089, 0.16707547008991241, 0.10387100279331207, 0.11476370692253113, 0.1265188753604889, 0.3557203710079193, 0.07894211262464523, 0.10036232322454453, 0.07913670688867569, 0.37593314051628113, 0.1129341647028923, 0.1415223479270935, 0.12204708904027939, 0.07107532024383545, 0.06827273964881897, 0.056646499782800674, 0.22259274125099182, 0.15211839973926544, 0.06346429884433746, 0.05393441766500473, 0.06362290680408478, 0.08259265124797821]","[0.4969944357872009, 0.6051945090293884, 0.7145287394523621, 0.808438241481781, 0.8388340473175049, 0.8608370423316956, 0.8751276135444641, 0.878076434135437, 0.8914597034454346, 0.8877168893814087, 0.8928207159042358, 0.8949756026268005, 0.9034819006919861, 0.9034819006919861, 0.9117613434791565, 0.9148236513137817, 0.9157309532165527, 0.9158443808555603, 0.9136894345283508, 0.9211750030517578, 0.9262787699699402, 0.924577534198761, 0.9279800653457642, 0.9320630431175232, 0.9380741715431213, 0.9345582127571106, 0.9368265867233276, 0.9388681054115295, 0.9430645108222961, 0.9498695731163025, 0.9472609758377075, 0.9480549097061157, 0.9537257552146912, 0.9548599123954773, 0.9566746354103088, 0.9547464847564697, 0.9596234560012817, 0.9558807015419006, 0.9595100283622742, 0.9592832326889038, 0.961891770362854, 0.9639332890510559, 0.9613246917724609, 0.9672223925590515, 0.9651808738708496, 0.9634796380996704, 0.966201663017273, 0.9680163264274597, 0.9676761031150818, 0.9686968326568604]","[0.5786848068237305, 0.678911566734314, 0.6575963497161865, 0.7827664613723755, 0.8988662362098694, 0.758276641368866, 0.8734694123268127, 0.8907029628753662, 0.8857142925262451, 0.8303855061531067, 0.9138321876525879, 0.9115646481513977, 0.6625850200653076, 0.9192743897438049, 0.9197278618812561, 0.8938775658607483, 0.9138321876525879, 0.9238095283508301, 0.9369614720344543, 0.9360544085502625, 0.91700679063797, 0.8839002251625061, 0.922448992729187, 0.9487528204917908, 0.9356009364128113, 0.9070294499397278, 0.9446712136268616, 0.9374149441719055, 0.916553258895874, 0.9392290115356445, 0.9537414908409119, 0.9551020264625549, 0.9519274234771729, 0.8956916332244873, 0.9709750413894653, 0.9659863710403442, 0.9659863710403442, 0.8775510191917419, 0.9573696255683899, 0.9510204195976257, 0.9560090899467468, 0.9755101799964905, 0.9709750413894653, 0.9777777791023254, 0.9315192699432373, 0.9469387531280518, 0.9755101799964905, 0.9777777791023254, 0.9750567078590393, 0.9700680375099182]",0.9777777791,0.9778945129,0.9777777778,0.977769759
CV3,"[1.0755268335342407, 0.8549513816833496, 0.746425986289978, 0.5546858310699463, 0.4235803484916687, 0.3590138554573059, 0.31534937024116516, 0.29300206899642944, 0.2911912500858307, 0.27067697048187256, 0.26280054450035095, 0.24463874101638794, 0.24255196750164032, 0.23141644895076752, 0.22663743793964386, 0.20623409748077393, 0.21084529161453247, 0.1986120194196701, 0.19196133315563202, 0.18484781682491302, 0.1779162436723709, 0.17384180426597595, 0.16221360862255096, 0.16320830583572388, 0.152198925614357, 0.14080895483493805, 0.14510990679264069, 0.14416195452213287, 0.13787256181240082, 0.1255812793970108, 0.12333257496356964, 0.1256653219461441, 0.114960677921772, 0.10911155492067337, 0.11034434288740158, 0.11303402483463287, 0.10839234292507172, 0.099339559674263, 0.10084065049886703, 0.09795623272657394, 0.10190363228321075, 0.09272821247577667, 0.09762515872716904, 0.09979431331157684, 0.0883231833577156, 0.09009391814470291, 0.08969167619943619, 0.0840969979763031, 0.08426670730113983, 0.07531288266181946]","[0.8399932980537415, 0.8503670692443848, 0.658076822757721, 0.6217487454414368, 0.5239923596382141, 0.2779165506362915, 0.3289892375469208, 0.3274749517440796, 0.28244805335998535, 0.23311278223991394, 0.22422459721565247, 0.24724502861499786, 0.24077488481998444, 0.2369353175163269, 0.3337566554546356, 0.18565918505191803, 0.17612898349761963, 0.31811150908470154, 0.16285204887390137, 0.17262734472751617, 0.20492315292358398, 0.1596965342760086, 0.24239999055862427, 0.29023683071136475, 0.21906737983226776, 0.20568859577178955, 0.19934186339378357, 0.11912881582975388, 0.09367698431015015, 0.2538466155529022, 0.10367856919765472, 0.10041787475347519, 0.15987710654735565, 0.12059710919857025, 0.11557818204164505, 0.09893301874399185, 0.07559934258460999, 0.14831885695457458, 0.11543462425470352, 0.07032125443220139, 0.11006298661231995, 0.08532511442899704, 0.06852536648511887, 0.10763378441333771, 0.08317143470048904, 0.07979850471019745, 0.07114826142787933, 0.14476493000984192, 0.07758629322052002, 0.10275552421808243]","[0.5006804466247559, 0.605806291103363, 0.6630755066871643, 0.7641188502311707, 0.8221818804740906, 0.8515536189079285, 0.8718530535697937, 0.8802449703216553, 0.882626473903656, 0.889884352684021, 0.8912451863288879, 0.8988432884216309, 0.8990700840950012, 0.9059877395629883, 0.9082558155059814, 0.9147198796272278, 0.9138126373291016, 0.9205034971237183, 0.9200499057769775, 0.926173746585846, 0.9317305684089661, 0.9275345802307129, 0.93638014793396, 0.9361533522605896, 0.9375141859054565, 0.943638026714325, 0.9442050457000732, 0.9448854327201843, 0.9474937915802002, 0.951916515827179, 0.9511227011680603, 0.9527103900909424, 0.957813560962677, 0.9609888792037964, 0.9571331143379211, 0.9579269886016846, 0.9603084325790405, 0.9609888792037964, 0.9613291025161743, 0.963710606098175, 0.9638239741325378, 0.9657518863677979, 0.9642776250839233, 0.961782693862915, 0.968360185623169, 0.968019962310791, 0.9651848673820496, 0.9708550572395325, 0.9673395156860352, 0.9732365608215332]","[0.5970962047576904, 0.6397458910942078, 0.7182395458221436, 0.7454627752304077, 0.7926497459411621, 0.8915607929229736, 0.8797640800476074, 0.8756805658340454, 0.8901996612548828, 0.9088021516799927, 0.9165154099464417, 0.9038112759590149, 0.8965517282485962, 0.8951905369758606, 0.8838475346565247, 0.9283121824264526, 0.934664249420166, 0.8666061758995056, 0.9314882159233093, 0.9278584122657776, 0.9215063452720642, 0.9301270246505737, 0.909709632396698, 0.9128856658935547, 0.9128856658935547, 0.9147005677223206, 0.9196914434432983, 0.9482758641242981, 0.9618874788284302, 0.917422890663147, 0.9532667994499207, 0.9600725769996643, 0.9446461200714111, 0.9537205100059509, 0.9505444765090942, 0.9568965435028076, 0.9700544476509094, 0.9505444765090942, 0.9655172228813171, 0.9718693494796753, 0.9618874788284302, 0.9664247035980225, 0.9705081582069397, 0.9600725769996643, 0.9659709334373474, 0.9691470265388489, 0.9727767705917358, 0.9450998306274414, 0.9741379022598267, 0.9623411893844604]",0.9741379023,0.9742382492,0.974137931,0.9741078148
CV4,"[1.073369026184082, 0.8561628460884094, 0.7630353569984436, 0.6072688698768616, 0.43260055780410767, 0.36674195528030396, 0.3259439170360565, 0.29962173104286194, 0.2826682925224304, 0.2689044177532196, 0.2610991299152374, 0.24223332107067108, 0.2340923249721527, 0.22494621574878693, 0.22253452241420746, 0.2109270691871643, 0.20395898818969727, 0.1925368458032608, 0.1972522735595703, 0.1805126667022705, 0.17140670120716095, 0.17210759222507477, 0.1628395915031433, 0.15922057628631592, 0.15316376090049744, 0.13793112337589264, 0.1424456536769867, 0.13389913737773895, 0.13071797788143158, 0.1350235491991043, 0.11889658123254776, 0.1212979406118393, 0.11276955902576447, 0.11396769434213638, 0.1105991080403328, 0.10365969687700272, 0.10380115360021591, 0.10090148448944092, 0.09369827806949615, 0.09570571035146713, 0.09348876774311066, 0.09349760413169861, 0.08342777192592621, 0.08465401828289032, 0.08586184680461884, 0.08593173325061798, 0.07926492393016815, 0.07594385743141174, 0.0780332162976265, 0.07047390192747116]","[0.8432140350341797, 0.7985174059867859, 0.6376448273658752, 0.4194631278514862, 0.31001750230789185, 0.3085527515411377, 0.3384852707386017, 0.27479323744773865, 0.2645319104194641, 0.28799569606781006, 0.24799993634223938, 0.2108561247587204, 0.4425732493400574, 0.20442673563957214, 0.25297436118125916, 0.26130449771881104, 0.17386998236179352, 0.21196600794792175, 0.1995130479335785, 0.226655513048172, 0.18600763380527496, 0.18635708093643188, 0.209872305393219, 0.12945760786533356, 0.12260280549526215, 0.172785222530365, 0.1379777044057846, 0.13762284815311432, 0.1240936666727066, 0.17966020107269287, 0.15345212817192078, 0.23554499447345734, 0.18413621187210083, 0.22422242164611816, 0.10081145167350769, 0.33125540614128113, 0.10798237472772598, 0.18265056610107422, 0.10562579333782196, 0.07179723680019379, 0.27456632256507874, 0.0784268006682396, 0.12022382020950317, 0.07853203266859055, 0.08665594458580017, 0.10591336339712143, 0.14801189303398132, 0.0847046971321106, 0.09896688908338547, 0.10489050298929214]","[0.4953504204750061, 0.6000226736068726, 0.6570650935173035, 0.7371286153793335, 0.8192333579063416, 0.8490587472915649, 0.8674302697181702, 0.8780902624130249, 0.8835336565971375, 0.8885234594345093, 0.8904513716697693, 0.9042866826057434, 0.9020186066627502, 0.9080290198326111, 0.9112043380737305, 0.9109775424003601, 0.9154003262519836, 0.9193694591522217, 0.9202767014503479, 0.9290088415145874, 0.9311635494232178, 0.9328646063804626, 0.9369471669197083, 0.937400758266449, 0.9401224851608276, 0.9477205872535706, 0.9440916180610657, 0.9478339552879333, 0.9493082165718079, 0.9478339552879333, 0.953504204750061, 0.9540712237358093, 0.959174394607544, 0.9581537842750549, 0.9584940075874329, 0.9609888792037964, 0.9580403566360474, 0.962122917175293, 0.965071439743042, 0.9665457010269165, 0.9648446440696716, 0.9642776250839233, 0.969380795955658, 0.9704014658927917, 0.9696075916290283, 0.96904057264328, 0.9692674279212952, 0.9736901521682739, 0.9716488718986511, 0.974257230758667]","[0.6406533718109131, 0.6125226616859436, 0.7218693494796753, 0.8207803964614868, 0.6302177906036377, 0.7019056081771851, 0.8638838529586792, 0.8765880465507507, 0.8874773383140564, 0.8815789222717285, 0.897912859916687, 0.9038112759590149, 0.8493648171424866, 0.9187840223312378, 0.8906533718109131, 0.9024500846862793, 0.9333030581474304, 0.9246823787689209, 0.9251360893249512, 0.9088021516799927, 0.9287658929824829, 0.930580735206604, 0.9178766012191772, 0.9487295746803284, 0.9546279311180115, 0.9278584122657776, 0.9446461200714111, 0.9487295746803284, 0.9519056081771851, 0.938293993473053, 0.9464609622955322, 0.9255898594856262, 0.9337568283081055, 0.9287658929824829, 0.9646098017692566, 0.8743194341659546, 0.963248610496521, 0.9319419264793396, 0.9655172228813171, 0.9768602252006531, 0.9165154099464417, 0.9741379022598267, 0.9532667994499207, 0.97096186876297, 0.9718693494796753, 0.9600725769996643, 0.9537205100059509, 0.9696007370948792, 0.9677858352661133, 0.9682395458221436]",0.9768602252,0.976988794,0.9768602541,0.9768874671
CV5,"[1.0682480335235596, 0.8766947388648987, 0.7486366033554077, 0.5063360333442688, 0.396136611700058, 0.3391326069831848, 0.3458995521068573, 0.3070557415485382, 0.28025928139686584, 0.27773645520210266, 0.26012471318244934, 0.2579815685749054, 0.2466563731431961, 0.22851650416851044, 0.22255897521972656, 0.20555610954761505, 0.2243431955575943, 0.19843636453151703, 0.19502826035022736, 0.19290009140968323, 0.1795600801706314, 0.1725137084722519, 0.1633683145046234, 0.1665675789117813, 0.14645878970623016, 0.14033150672912598, 0.13559262454509735, 0.12815342843532562, 0.12645743787288666, 0.12850621342658997, 0.11992848664522171, 0.11681907624006271, 0.1113867312669754, 0.11159203201532364, 0.1128392294049263, 0.1040327325463295, 0.09977948665618896, 0.0963660255074501, 0.08941611647605896, 0.09168176352977753, 0.08843423426151276, 0.09444424510002136, 0.09384450316429138, 0.08772989362478256, 0.08328860253095627, 0.07213830202817917, 0.08722836524248123, 0.08472586423158646, 0.07319685071706772, 0.07583858072757721]","[0.888025164604187, 0.7837499380111694, 0.5685431957244873, 0.4164382815361023, 0.7913858294487, 0.6310968995094299, 0.503496766090393, 0.5443736910820007, 0.19569633901119232, 0.18213321268558502, 0.2670566439628601, 0.43553343415260315, 0.17791201174259186, 0.17300724983215332, 0.25542452931404114, 0.2326335310935974, 0.20736680924892426, 0.2077362835407257, 0.3598569631576538, 0.4516782760620117, 0.2728535830974579, 0.13721859455108643, 0.1628035306930542, 0.18011902272701263, 0.17956243455410004, 0.2851099371910095, 0.12307871878147125, 0.10003559291362762, 0.21326836943626404, 0.11136043071746826, 0.1341170221567154, 0.10926807671785355, 0.10986392945051193, 0.3164292871952057, 0.14858536422252655, 0.1319517195224762, 0.10470843315124512, 0.1760600507259369, 0.08035188913345337, 0.07476869225502014, 0.0630955770611763, 0.07687734812498093, 0.1130049005150795, 0.06911710649728775, 0.08385639637708664, 0.08830614387989044, 0.07546918094158173, 0.0914125069975853, 0.11509832739830017, 0.08383496850728989]","[0.49965977668762207, 0.585393488407135, 0.6603538393974304, 0.7870265245437622, 0.8340893387794495, 0.8571104407310486, 0.8567702174186707, 0.8759356141090393, 0.8829666376113892, 0.883987307548523, 0.8895441293716431, 0.8954411149024963, 0.9003175497055054, 0.9059877395629883, 0.9106373190879822, 0.9144930839538574, 0.9080290198326111, 0.9163075685501099, 0.9236788153648376, 0.9192560911178589, 0.9281015992164612, 0.9316171407699585, 0.9362667202949524, 0.9322975873947144, 0.9418235421180725, 0.9439782500267029, 0.9460195302963257, 0.9494216442108154, 0.9540712237358093, 0.9502154588699341, 0.9540712237358093, 0.956792950630188, 0.9558857083320618, 0.9605352878570557, 0.9605352878570557, 0.962122917175293, 0.963710606098175, 0.9643909931182861, 0.9665457010269165, 0.9662054777145386, 0.9697210192680359, 0.9658652544021606, 0.9651848673820496, 0.9684735536575317, 0.9694942235946655, 0.9739170074462891, 0.9717622995376587, 0.9675663709640503, 0.9728963375091553, 0.9736901521682739]","[0.5812159776687622, 0.6175135970115662, 0.7595281600952148, 0.8275862336158752, 0.7304900288581848, 0.7477313876152039, 0.5739564299583435, 0.7931034564971924, 0.9228675365447998, 0.9292196035385132, 0.8988203406333923, 0.8221415877342224, 0.9319419264793396, 0.9255898594856262, 0.9006351828575134, 0.917422890663147, 0.9088021516799927, 0.9187840223312378, 0.8838475346565247, 0.8575317859649658, 0.8947368264198303, 0.9514518976211548, 0.9464609622955322, 0.9314882159233093, 0.9274047017097473, 0.8774954676628113, 0.9541742205619812, 0.9664247035980225, 0.9274047017097473, 0.9555354118347168, 0.9532667994499207, 0.9677858352661133, 0.9686932563781738, 0.9006351828575134, 0.9487295746803284, 0.9555354118347168, 0.9659709334373474, 0.9505444765090942, 0.9700544476509094, 0.9732304811477661, 0.9795825481414795, 0.9732304811477661, 0.9614337682723999, 0.9800363183021545, 0.9791288375854492, 0.9668784141540527, 0.9736841917037964, 0.9736841917037964, 0.9650635123252869, 0.9705081582069397]",0.9800363183,0.9801121268,0.9800362976,0.9800369299
